name,artist,type
台灣點歌王,,導航項目
我的歌單,,導航項目
我的歌單,,導航項目
首頁,,導航項目
音圓,,導航項目
音圓,,導航項目
弘音,,導航項目
弘音,,導航項目
金嗓,,導航項目
金嗓,,導航項目
瑞影,,導航項目
瑞影,,導航項目
音圓原廠,,導航項目
音圓原廠,,導航項目
金嗓/投幣,,導航項目
金嗓/投幣,,導航項目
金嗓/家庭,,導航項目
金嗓/家庭,,導航項目
嘉揚,,導航項目
嘉揚,,導航項目
音遊,,導航項目
音遊,,導航項目
點將家,,導航項目
點將家,,導航項目
一級棒,,導航項目
一級棒,,導航項目
錢櫃,,導航項目
錢櫃,,導航項目
好樂迪,,導航項目
好樂迪,,導航項目
星據點,,導航項目
星據點,,導航項目
銀櫃,,導航項目
銀櫃,,導航項目
享溫馨,,導航項目
享溫馨,,導航項目
音影,,導航項目
音影,,導航項目
美華,,導航項目
美華,,導航項目
金影,,導航項目
金影,,導航項目
大唐,,導航項目
大唐,,導航項目
MV,,導航項目
MV,,導航項目
歡歌好去處,,導航項目
叫我第一名,,導航項目
1,,導航項目
1,,導航項目
2,,導航項目
2,,導航項目
3,,導航項目
3,,導航項目
您有26首【弘音】新歌尚未更新，查看詳情...,,導航項目
更多...,,導航項目
九級龍捲風,彭正,歌曲
九級龍捲風,,導航項目
若有來世,翁立友+唐儷,歌曲
若有來世,,導航項目
鴛鴦伴,上豪+明卉,歌曲
鴛鴦伴,,導航項目
黃金花,安心亞（Amber An）,歌曲
黃金花,,導航項目
火車來去,荒山亮（Ric Jan）,歌曲
火車來去,,導航項目
情路之戀,上豪,歌曲
情路之戀,,導航項目
更多...,,導航項目
詹雅雯,,導航項目
詹雅雯,,導航項目
楊哲,,導航項目
楊哲,,導航項目
喬幼,,導航項目
喬幼,,導航項目
翁立友,,導航項目
翁立友,,導航項目
江蕙,,導航項目
江蕙,,導航項目
謝宜君,,導航項目
謝宜君,,導航項目
更多...,,導航項目
蝴蝶夢,蔡小虎+龍千玉,歌曲
蝴蝶夢,蔡小虎+龍千玉,歌曲
三生石,李明洋+朱海君,歌曲
三生石,李明洋+朱海君,歌曲
香水,江志豐+張秀卿,歌曲
香水,江志豐+張秀卿,歌曲
問酒,上明,歌曲
問酒,上明,歌曲
三年,江志豐,歌曲
三年,江志豐,歌曲
不得已,李明洋,歌曲
不得已,李明洋,歌曲
更多...,,導航項目
來生作伴,葉諾帆+林琇琪,台語排名：1
來生作伴,葉諾帆+林琇琪,台語排名：1
牽手共渡,廖偉志+余秀娟,台語排名：2
牽手共渡,廖偉志+余秀娟,台語排名：2
心刻你名字,柯俊傑+龍千玉,台語排名：3
心刻你名字,柯俊傑+龍千玉,台語排名：3
深秋夜雨,洋瀾一,國語排名：1
深秋夜雨,洋瀾一,國語排名：1
墨雨雲間,井朧+井迪,國語排名：2
墨雨雲間,井朧+井迪,國語排名：2
蘋果香,楊雯梓,國語排名：3
蘋果香,楊雯梓,國語排名：3
"新歌發佈
@台灣點歌王 發表於 1週前
一級棒3月新歌已發佈。",,新歌發布
@台灣點歌王,,導航項目
"新歌發佈
@台灣點歌王 發表於 1週前
音圓原廠3月新歌已發佈。",,新歌發布
@台灣點歌王,,導航項目
"新歌發佈
@台灣點歌王 發表於 1週前
嘉揚3月新歌已發佈。",,新歌發布
@台灣點歌王,,導航項目
"新歌發佈
@台灣點歌王 發表於 1週前
弘音3月新歌已發佈。",,新歌發布
@台灣點歌王,,導航項目
"新歌發佈
@台灣點歌王 發表於 2週前
金嗓/家庭2月新歌已發佈。",,新歌發布
@台灣點歌王,,導航項目
"新歌發佈
@台灣點歌王 發表於 2週前
瑞影3月新歌已發佈。",,新歌發布
@台灣點歌王,,導航項目
"新歌發佈
@台灣點歌王 發表於 2週前
音遊3月新歌已發佈。",,新歌發布
@台灣點歌王,,導航項目
"新歌發佈
@台灣點歌王 發表於 2週前
點將家2月新歌已發佈。",,新歌發布
@台灣點歌王,,導航項目
"新歌發佈
@台灣點歌王 發表於 2週前
金嗓/投幣2月新歌已發佈。",,新歌發布
@台灣點歌王,,導航項目
"新歌發佈
@台灣點歌王 發表於 2週前
銀櫃3月新歌已發佈。",,新歌發布
@台灣點歌王,,導航項目
